threshold,coverage,accuracy
0.5,1.0,1.0
0.55,1.0,1.0
0.6000000000000001,1.0,1.0
0.6500000000000001,1.0,1.0
0.7000000000000002,1.0,1.0
0.7500000000000002,1.0,1.0
0.8000000000000003,1.0,1.0
0.8500000000000003,1.0,1.0
0.9000000000000004,1.0,1.0
0.9500000000000004,1.0,1.0
1.0000000000000004,0.0,
