modele,holdout_acc,holdout_bal,holdout_f1,groupkfold_acc,groupkfold_std
"Bayésien gaussien (cours, custom)",0.661,0.644,0.612,0.749,0.048
GaussianNB (sklearn),0.532,0.488,0.435,0.616,0.077
