modele,holdout_acc,holdout_bal,holdout_f1,groupkfold_acc,groupkfold_std
"Bayésien gaussien (cours, custom)",0.605,0.624,0.601,0.639,0.044
GaussianNB (sklearn),0.645,0.647,0.622,0.726,0.056
