k_features,best_model,MAE_euclid_m,median_m,R2_x,R2_y
52,ExtraTrees,1.1923610969099878,1.1480893492974742,0.30921474103585656,0.8847860389610389
20,RandomForest,1.3434674018471033,1.284588684858015,0.38091633466135444,0.812259595959596
30,ExtraTrees,1.3437324548908445,1.0512843440919108,0.2451904382470117,0.7880940746753247
15,RandomForest,1.3567750191706596,1.2630505977091495,0.3311219123505975,0.8324669552669552
10,RandomForest,1.3977406826593937,1.1978465789758603,0.21400265604249658,0.8200906204906204
5,Ridge,1.6417996508284078,1.5424703888241398,-0.4298819660229307,0.7659257015173181
