Room,BSSID,SSID,RSSI(dBm),Time
S204A,ac:2a:a1:7e:df:68,UTTetudiants,-75,2026-02-10 15:48:32
S204A,ac:2a:a1:7e:df:68,UTTetudiants,-74,2026-02-10 15:48:36
S204A,ac:2a:a1:7e:df:68,UTTetudiants,-75,2026-02-10 15:48:36
S204A,ac:2a:a1:7e:df:68,UTTetudiants,-74,2026-02-10 15:48:40
S204A,ac:2a:a1:7e:df:68,UTTetudiants,-68,2026-02-10 15:48:40
S204A,ac:2a:a1:7e:df:68,UTTetudiants,-78,2026-02-10 15:48:44
S204A,ac:2a:a1:7e:df:68,UTTetudiants,-85,2026-02-10 15:48:44
S204A,ac:2a:a1:7e:df:68,UTTetudiants,-78,2026-02-10 15:48:47
S204A,ac:2a:a1:7e:df:68,UTTetudiants,-85,2026-02-10 15:48:47
S204A,ac:2a:a1:7e:df:68,UTTetudiants,-72,2026-02-10 15:48:56
S204A,ac:2a:a1:7e:df:68,UTTetudiants,-76,2026-02-10 15:48:56
S204A,ac:2a:a1:7e:df:68,UTTetudiants,-72,2026-02-10 15:49:00
S204A,ac:2a:a1:7e:df:68,UTTetudiants,-83,2026-02-10 15:49:00
S204A,ac:2a:a1:7e:df:68,UTTetudiants,-73,2026-02-10 15:49:03
S204A,ac:2a:a1:7e:df:68,UTTetudiants,-83,2026-02-10 15:49:03
S204A,ac:2a:a1:7e:df:68,UTTetudiants,-75,2026-02-10 15:49:10
S204A,ac:2a:a1:7e:df:68,UTTetudiants,-85,2026-02-10 15:49:10
S204A,ac:2a:a1:7e:df:68,UTTetudiants,-75,2026-02-10 15:49:13
S204A,ac:2a:a1:7e:df:68,UTTetudiants,-85,2026-02-10 15:49:13
S204A,ac:2a:a1:7e:df:68,UTTetudiants,-71,2026-02-10 15:49:17
S204A,ac:2a:a1:7e:df:68,UTTetudiants,-85,2026-02-10 15:49:17
S204A,ac:2a:a1:7e:df:68,UTTetudiants,-79,2026-02-10 15:49:21
S204A,ac:2a:a1:7e:df:68,UTTetudiants,-82,2026-02-10 15:49:21
S204A,ac:2a:a1:7e:df:68,UTTetudiants,-79,2026-02-10 15:49:27
S204A,ac:2a:a1:7e:df:68,UTTetudiants,-82,2026-02-10 15:49:27
