Room,BSSID,SSID,RSSI(dBm),Time
S103B,ac:2a:a1:7e:df:67,UTTetudiants,-83,2026-02-10 16:13:50
S103B,ac:2a:a1:7e:df:67,UTTetudiants,-81,2026-02-10 16:14:09
S103B,ac:2a:a1:7e:df:67,UTTetudiants,-81,2026-02-10 16:14:12
S103B,ac:2a:a1:7e:df:67,UTTetudiants,-85,2026-02-10 16:14:17
S103B,ac:2a:a1:7e:df:67,UTTetudiants,-85,2026-02-10 16:14:22
S103B,ac:2a:a1:7e:df:67,UTTetudiants,-85,2026-02-10 16:14:33
S103B,ac:2a:a1:7e:df:67,UTTetudiants,-86,2026-02-10 16:14:39
S103B,ac:2a:a1:7e:df:67,UTTetudiants,-82,2026-02-10 16:14:39
S103B,ac:2a:a1:7e:df:67,UTTetudiants,-77,2026-02-10 16:14:45
S103B,ac:2a:a1:7e:df:67,UTTetudiants,-82,2026-02-10 16:14:45
S103B,ac:2a:a1:7e:df:67,UTTetudiants,-79,2026-02-10 16:14:49
S103B,ac:2a:a1:7e:df:67,UTTetudiants,-82,2026-02-10 16:14:49
S103B,ac:2a:a1:7e:df:67,UTTetudiants,-80,2026-02-10 16:14:53
S103B,ac:2a:a1:7e:df:67,UTTetudiants,-82,2026-02-10 16:14:53
S103B,ac:2a:a1:7e:df:67,UTTetudiants,-80,2026-02-10 16:14:56
S103B,ac:2a:a1:7e:df:67,UTTetudiants,-82,2026-02-10 16:14:56
S103B,ac:2a:a1:7e:df:67,UTTetudiants,-71,2026-02-10 16:15:01
S103B,ac:2a:a1:7e:df:67,UTTetudiants,-83,2026-02-10 16:15:01
S103B,ac:2a:a1:7e:df:67,UTTetudiants,-84,2026-02-10 16:15:04
S103B,ac:2a:a1:7e:df:67,UTTetudiants,-83,2026-02-10 16:15:04
S103B,ac:2a:a1:7e:df:67,UTTetudiants,-78,2026-02-10 16:15:11
S103B,ac:2a:a1:7e:df:67,UTTetudiants,-83,2026-02-10 16:15:11
S103B,ac:2a:a1:7e:df:67,UTTetudiants,-85,2026-02-10 16:15:29
S103B,ac:2a:a1:7e:df:67,UTTetudiants,-83,2026-02-10 16:15:29
S103B,ac:2a:a1:7e:df:67,UTTetudiants,-77,2026-02-10 16:15:32
S103B,ac:2a:a1:7e:df:67,UTTetudiants,-82,2026-02-10 16:15:32
S103B,ac:2a:a1:7e:df:67,UTTetudiants,-77,2026-02-10 16:15:45
S103B,ac:2a:a1:7e:df:67,UTTetudiants,-82,2026-02-10 16:15:45
S103B,ac:2a:a1:7e:df:67,UTTetudiants,-77,2026-02-10 16:15:48
S103B,ac:2a:a1:7e:df:67,UTTetudiants,-82,2026-02-10 16:15:48
S103B,ac:2a:a1:7e:df:67,UTTetudiants,-77,2026-02-10 16:15:54
S103B,ac:2a:a1:7e:df:67,UTTetudiants,-82,2026-02-10 16:15:54
S103B,ac:2a:a1:7e:df:67,UTTetudiants,-79,2026-02-10 16:15:57
S103B,ac:2a:a1:7e:df:67,UTTetudiants,-82,2026-02-10 16:15:57
S103B,ac:2a:a1:7e:df:67,UTTetudiants,-84,2026-02-10 16:16:01
S103B,ac:2a:a1:7e:df:67,UTTetudiants,-82,2026-02-10 16:16:01
S103B,ac:2a:a1:7e:df:67,UTTetudiants,-84,2026-02-10 16:16:06
S103B,ac:2a:a1:7e:df:67,UTTetudiants,-82,2026-02-10 16:16:06
S103B,ac:2a:a1:7e:df:67,UTTetudiants,-84,2026-02-10 16:16:10
S103B,ac:2a:a1:7e:df:67,UTTetudiants,-82,2026-02-10 16:16:10
S103B,ac:2a:a1:7e:df:67,UTTetudiants,-88,2026-02-10 16:16:13
S103B,ac:2a:a1:7e:df:67,UTTetudiants,-82,2026-02-10 16:16:13
S103B,ac:2a:a1:7e:df:67,UTTetudiants,-81,2026-02-10 16:16:16
S103B,ac:2a:a1:7e:df:67,UTTetudiants,-82,2026-02-10 16:16:16
S103B,ac:2a:a1:7e:df:67,UTTetudiants,-81,2026-02-10 16:16:27
S103B,ac:2a:a1:7e:df:67,UTTetudiants,-82,2026-02-10 16:16:27
S103B,ac:2a:a1:7e:df:67,UTTetudiants,-81,2026-02-10 16:16:30
S103B,ac:2a:a1:7e:df:67,UTTetudiants,-82,2026-02-10 16:16:30
S103B,ac:2a:a1:7e:df:67,UTTetudiants,-81,2026-02-10 16:16:33
S103B,ac:2a:a1:7e:df:67,UTTetudiants,-82,2026-02-10 16:16:33
