Room,BSSID,SSID,RSSI(dBm),Time
S202A,ac:2a:a1:7e:df:67,UTTetudiants,-81,2026-02-10 15:04:10
S202A,ac:2a:a1:7e:df:67,UTTetudiants,-81,2026-02-10 15:04:13
S202A,ac:2a:a1:7e:df:67,UTTetudiants,-81,2026-02-10 15:04:16
S202A,ac:2a:a1:7e:df:67,UTTetudiants,-78,2026-02-10 15:04:19
S202A,ac:2a:a1:7e:df:67,UTTetudiants,-85,2026-02-10 15:04:26
S202A,ac:2a:a1:7e:df:67,UTTetudiants,-84,2026-02-10 15:04:26
S202A,ac:2a:a1:7e:df:67,UTTetudiants,-85,2026-02-10 15:04:29
S202A,ac:2a:a1:7e:df:67,UTTetudiants,-84,2026-02-10 15:04:29
S202A,ac:2a:a1:7e:df:67,UTTetudiants,-85,2026-02-10 15:04:32
S202A,ac:2a:a1:7e:df:67,UTTetudiants,-84,2026-02-10 15:04:32
S202A,ac:2a:a1:7e:df:67,UTTetudiants,-88,2026-02-10 15:04:35
S202A,ac:2a:a1:7e:df:67,UTTetudiants,-84,2026-02-10 15:04:35
S202A,ac:2a:a1:7e:df:67,UTTetudiants,-84,2026-02-10 15:04:41
S202A,ac:2a:a1:7e:df:67,UTTetudiants,-81,2026-02-10 15:04:44
S202A,ac:2a:a1:7e:df:67,UTTetudiants,-84,2026-02-10 15:04:44
S202A,ac:2a:a1:7e:df:67,UTTetudiants,-81,2026-02-10 15:04:47
S202A,ac:2a:a1:7e:df:67,UTTetudiants,-77,2026-02-10 15:04:47
S202A,ac:2a:a1:7e:df:67,UTTetudiants,-82,2026-02-10 15:04:50
S202A,ac:2a:a1:7e:df:67,UTTetudiants,-77,2026-02-10 15:04:50
S202A,ac:2a:a1:7e:df:67,UTTetudiants,-82,2026-02-10 15:04:56
S202A,ac:2a:a1:7e:df:67,UTTetudiants,-80,2026-02-10 15:04:59
S202A,ac:2a:a1:7e:df:67,UTTetudiants,-82,2026-02-10 15:04:59
S202A,ac:2a:a1:7e:df:67,UTTetudiants,-80,2026-02-10 15:05:02
S202A,ac:2a:a1:7e:df:67,UTTetudiants,-82,2026-02-10 15:05:02
S202A,ac:2a:a1:7e:df:67,UTTetudiants,-84,2026-02-10 15:05:05
S202A,ac:2a:a1:7e:df:67,UTTetudiants,-82,2026-02-10 15:05:05
S202A,ac:2a:a1:7e:df:67,UTTetudiants,-84,2026-02-10 15:05:09
S202A,ac:2a:a1:7e:df:67,UTTetudiants,-82,2026-02-10 15:05:09
S202A,ac:2a:a1:7e:df:67,UTTetudiants,-84,2026-02-10 15:05:11
S202A,ac:2a:a1:7e:df:67,UTTetudiants,-82,2026-02-10 15:05:11
S202A,ac:2a:a1:7e:df:67,UTTetudiants,-86,2026-02-10 15:05:14
S202A,ac:2a:a1:7e:df:67,UTTetudiants,-82,2026-02-10 15:05:14
S202A,ac:2a:a1:7e:df:67,UTTetudiants,-79,2026-02-10 15:05:17
S202A,ac:2a:a1:7e:df:67,UTTetudiants,-82,2026-02-10 15:05:17
S202A,ac:2a:a1:7e:df:67,UTTetudiants,-79,2026-02-10 15:05:19
S202A,ac:2a:a1:7e:df:67,UTTetudiants,-82,2026-02-10 15:05:19
S202A,ac:2a:a1:7e:df:67,UTTetudiants,-79,2026-02-10 15:05:25
S202A,ac:2a:a1:7e:df:67,UTTetudiants,-82,2026-02-10 15:05:25
S202A,ac:2a:a1:7e:df:67,UTTetudiants,-85,2026-02-10 15:05:28
